sha,commit/committer/date,commit/message,committer/login,committer/id,InsertQuery,,,,,
2bc05852068611d9a5372d8e0afb66ca212b8a3a,2016-04-15T01:49:47Z,Fixed Time line in solution 3,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('2bc05852068611d9a5372d8e0afb66ca212b8a3a','13953290','asaha1','2016-04-15T01:49:47Z','Fixed Time line in solution 3');"
4a6fbef1608760a8fd279dbfad4edd4bc1f7a61f,2016-04-08T03:57:16Z,Adding SAWM,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('4a6fbef1608760a8fd279dbfad4edd4bc1f7a61f','13953290','asaha1','2016-04-08T03:57:16Z','Adding SAWM');"
30ab8a26b969ae00e5a7b8e4699b56b43e7fb2fa,2016-04-08T03:55:57Z,Updating soln 3,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('30ab8a26b969ae00e5a7b8e4699b56b43e7fb2fa','13953290','asaha1','2016-04-08T03:55:57Z','Updating soln 3');"
a6099bbd56301372c528dcdaa166dac6f9de4665,2016-04-08T02:40:26Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('a6099bbd56301372c528dcdaa166dac6f9de4665','16628107','yemao616','2016-04-08T02:40:26Z','fix Readme');"
abc716a91c1b255163282e9e7fa7febcc0209e78,2016-04-08T02:32:47Z,Adding the final pdf,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('abc716a91c1b255163282e9e7fa7febcc0209e78','13953290','asaha1','2016-04-08T02:32:47Z','Adding the final pdf');"
442bc4cbae16b7d33fdc21086107505106293b4e,2016-04-08T02:30:46Z,Adding the final pdf,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('442bc4cbae16b7d33fdc21086107505106293b4e','13953290','asaha1','2016-04-08T02:30:46Z','Adding the final pdf');"
6f21571cb0c185565a8da1e79a8d9e6cc2490d0e,2016-04-08T01:56:53Z,itinerary image,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6f21571cb0c185565a8da1e79a8d9e6cc2490d0e','13953290','asaha1','2016-04-08T01:56:53Z','itinerary image');"
9cc936589b14778e7b5280dadf7c826df99b65bb,2016-04-07T21:56:15Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('9cc936589b14778e7b5280dadf7c826df99b65bb','16145028','YiqiaoXu-Joe','2016-04-07T21:56:15Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
e625cc9c01385fe8880d2af32fbcc476f9cc798f,2016-04-07T21:56:11Z,fix readme,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('e625cc9c01385fe8880d2af32fbcc476f9cc798f','16145028','YiqiaoXu-Joe','2016-04-07T21:56:11Z','fix readme');"
1b61983393ea70e072d6107103312db268dc65c9,2016-04-07T20:09:23Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('1b61983393ea70e072d6107103312db268dc65c9','16628107','yemao616','2016-04-07T20:09:23Z','fix Readme');"
